ch_id;ch_name;X;Y;Z
FP1;EEG FP1-REF;-29.4367;83.9171;-6.99
FP2;EEG FP2-REF;29.8723;84.8959;-7.08
F7;EEG F7-REF;-70.2629;42.4743;-11.42
F3;EEG F3-REF;-50.2438;53.1112;42.192
F4;EEG F4-REF;51.8362;54.3048;40.814
F8;EEG F8-REF;73.0431;44.4217;-12.0
C3;EEG C3-REF;-65.3581;-11.6317;64.358
CZ;EEG CZ-REF;0.4009;-9.167;100.244
C4;EEG C4-REF;67.1179;-10.9003;63.58
P3;EEG P3-REF;-53.0073;-78.7878;55.94
P4;EEG P4-REF;55.6667;-78.5602;56.561
O1;EEG O1-REF;-29.4134;-112.449;8.839
O2;EEG O2-REF;29.8426;-112.156;8.8
T3;EEG T3-REF;-84.1611;-16.0187;-9.346
T5;EEG T5-REF;-72.4343;-73.4527;-2.487
T4;EEG T4-REF;85.0799;-15.0203;-9.49
T6;EEG T6-REF;73.0557;-73.0683;-2.54
A1;EEG A1-REF;-86.0761;-24.9897;-67.986
A2;EEG A2-REF;85.7939;-25.0093;-68.031
